TailNum,sum(Distance)
N614UA,4950
N76073,3904
N78060,3904
N364A1,3784
N143AA,3784
N783AS,2898
N391AA,2724
N613AA,2704
N544UA,2704
N536UA,2704
N5DJAA,2704
N438UA,2704
N545UA,2704
N572UA,2704
N567UA,2704
N584AS,2701
N5DCAA,2689
N630AA,2689
N587NW,2688
N596HA,2677
N543UA,2615
N5DCAA,2611
N3ANAA,2588
N663DN,2586
N653UA,2586
N198DN,2586
N650TW,2586
N354AA,2586
N618UA,2586
N363AA,2585
N580JB,2576
N561JB,2569
N33266,2565
N549UA,2565
N543UA,2556
N716DA,2556
N5ERAA,2556
N12238,2554
N807AW,2551
N124US,2521
N103UW,2521
N113UW,2521
N520US,2518
N543UA,2504
N5EUAA,2504
N621JB,2496
N5EWAA,2486
N674UA,2486
N312AA,2475
N603UA,2475
N555UA,2475
N604UA,2475
N166AA,2475
N131AA,2475
N330AA,2475
N308A1,2475
N651TW,2475
N328AA,2475
N636JB,2465
N565JB,2465
-N649D,2454
N559UA,2454
N35271,2454
N13110,2454
N558JB,2446
N504JB,2446
N493,2446
N17233,2433
N17719,2433
N38727,2433
N533JB,2430
N3745B,2421
N647UA,2419
N596UA,2419
N211UA,2419
N653UA,2419
N418UA,2419
N607UA,2419
N609AU,2401
N478WN,2401
N12238,2401
N1858U,2398
N764DA,2398
N676UA,2398
N126AA,2398
N555TZ,2386
N901AW,2381
N603AU,2369
N173UW,2369
N673UA,2367
N5DJAA,2342
N637A1,2342
N396AA,2342
N167AA,2342
N385A1,2342
N802UA,2329
N529UA,2329
N914AW,2300
N903AW,2300
N679AW,2300
N723SW,2298
N186US,2296
N119US,2296
N163UW,2296
N434WN,2295
N575UA,2288
N587UA,2288
N677UA,2288
N5CSAA,2288
N648AW,2282
N615JB,2277
N424,2277
N509JB,2253
N655DL,2217
N5DGAA,2217
N135DL,2182
N677DL,2182
N101DA,2182
N678DL,2172
N15712,2161
N810AW,2153
N641JB,2153
N902AW,2153
N648AW,2153
N740DA,2139
N312AT,2139
-N624D,2139
N128DL,2139
N3754A,2139
N104D1,2139
N699DL,2139
N110DL,2139
N101UW,2136
N110UW,2136
N669AW,2133
N652AW,2133
N601DL,2125
N635DL,2125
N730UW,2125
N3757D,2092
N534US,2079
N542US,2079
N553NW,2079
N158US,2079
N585US,2077
N709UW,2075
N455UA,2066
N29129,2053
N128DL,2039
N637DL,2039
N16234,2007
N792,1999
N625DL,1989
N161US,1979
N339NW,1979
N700,1977
N711,1977
N383DN,1975
N816AW,1972
N743,1959
N332NB,1957
N349NW,1953
N1611B,1946
N318TZ,1944
N126DL,1929
N634DL,1929
N540US,1927
N504US,1927
N6701,1919
N622AU,1916
N628AU,1916
N922UW,1916
N739,1912
N831AW,1910
N527AU,1910
N625AU,1910
N604AU,1910
N391DA,1900
N661DN,1900
N615DL,1900
N499,1891
N344AT,1891
N12238,1874
N36272,1874
N727SW,1855
N520AT,1855
N830WA,1854
N390DA,1851
N658AW,1848
N705SW,1848
N654AW,1848
N471UA,1846
N660UA,1846
N4XJAA,1846
N117UA,1846
N550UA,1846
N433UA,1846
N3AEAA,1846
N4XVAA,1846
N735SA,1838
N201AA,1829
N828UA,1829
N464UA,1829
N380DA,1827
N26226,1825
N17627,1825
N73406,1825
N73275,1825
N73256,1825
N677AA,1814
N529AU,1814
N435,1814
N348NB,1807
N559UA,1781
N315UA,1781
N769UW,1774
N178UW,1774
N820AW,1772
N788,1772
